toi,name,exofop_url,harps_url
TOI0774,WASP-55,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0774,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-55_RVs/WASP-55_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0776,TOI-776,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0776,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-776_RVs/TOI-776_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0780,WASP-41,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0780,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-41_RVs/WASP-41_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0813,CD-61970,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0813,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-61970_RVs/CD-61970_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0818,WASP-16,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0818,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-16_RVs/WASP-16_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0819,HATS-17,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0819,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HATS-17_RVs/HATS-17_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0820,CD-3110766,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0820,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-3110766_RVs/CD-3110766_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0822,WASP-132,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0822,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-132_RVs/WASP-132_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0823,TOI-823,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0823,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-823_RVs/TOI-823_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0826,WASP-130,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0826,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-130_RVs/WASP-130_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0828,HD122173,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0828,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD122173_RVs/HD122173_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0829,TYC7310-1928-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0829,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7310-1928-1_RVs/TYC7310-1928-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0836,HIP73427,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0836,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HIP73427_RVs/HIP73427_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0849,TOI-849,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0849,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-849_RVs/TOI-849_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0851,TOI-851,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0851,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-851_RVs/TOI-851_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0853,TYC7550-294-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0853,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7550-294-1_RVs/TYC7550-294-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0855,BD-02146,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0855,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/BD-02146_RVs/BD-02146_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0878,TYC8084-545-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0878,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC8084-545-1_RVs/TYC8084-545-1_HARPS_RVBank_ver02_rvsonly.dat&run
